question,answers,correctAnswer
"VII.1 ¿Qué es el Permiso Internacional de Aficionado (I.A.R.P.)?","Un documento que permite a su tenedor operar sin restricciones en todos los países del mundo.|Un documento que faculta a su tenedor operar en los países de América signatarios del Convenio Interamericano sobre el IARP.","1"
"VII.2 ¿En cuántas Clases se emite el I.A.R.P. de acuerdo a la Resolución SC 3745/1997?","Una Clase|Dos Clases.|Tres Clases.|Cuatro Clases","1"
"VII.3 ¿Qué categoría de Radioaficionado se debe tener para poder obtener el IARP de acuerdo a la Resolución SC 3745/1997?","Sólo Superior.|General y Superior.|Intermedia, General y Superior.|No hay restricciones.","3"
"VII.4 El IARP de Clase 1 faculta a opera","Sólo en bandas por sobre 30 MHz.|Sólo en bandas de 10, 15 y 20 metros.|En todas las bandas.|Sólo en bandas por debajo de 30 MHz.","2"
"VII.5 El IARP de Clase 2 faculta a operar:","En todas las bandas.|Sólo en bandas por sobre 30 MHz.|En todas las bandas.|En bandas de 80, 40 y 20 metros.","1"
"VIII.1 ¿En la señal distintiva a qué corresponde el prefijo?","Al país.|A la provincia.|A la categoría del radioaficionado.|","0"
"VIII.2 ¿Cuál es el prefijo correspondiente a la República Argentina?","LU/LW.|CX.|PY.","0"
"VIII.3 La/s primera/s letras del sufijo de la señal distintiva corresponden a:","País.|Provincia.|Categoría.","1"
"VIII.4 ¿Cuál es el criterio de asignación por parte de la Autoridad de Aplicación del sufijo de la señal distintiva en caso de poseer sólo estaciones móviles?","Domicilio de emplazamiento de la estación fija.|Domicilio indicado en el DNI del Radioaficionado.","1"
"VIII.5 ¿Cuál es el criterio de asignación por parte de la Autoridad de Aplicación del sufijo de la señal distintiva en caso de poseer estación fija y móviles?","Domicilio de emplazamiento de la estación fija.|Domicilio del DNI del Radioaficionado.","0"
"VIII.6 ¿A qué categoría se le puede asignar una señal distintiva con un sufijo de 2 letras?","Categoría General.|Categoría Superior y Especial.|Cualquier categoría.","1"
"VIII.7 ¿En qué otro caso a lo planteado en la pregunta VIII.6 se puede asignar una señal distintiva con un sufijo de 2 letras?","Por fallecimiento del titular, a un familiar que la reclame.|Por pedido del titular hacia un tercero.","0"
"VIII.8 ¿Por cuánto tiempo queda reservada la señal distintiva por fallecimiento del titular?","2 años.|1 año.|5 años.","0"
"VIII.9 ¿Por cuánto tiempo se otorga la Señal Distintiva Especial?","2 años.|1 año.|5 años.","1"
"VIII.10 ¿Quiénes podrán solicitar Señales Distintivas Especiales?","Radioaficionados categoría General o Superior|Radio Clubes, Instituciones Autorizadas, Instituciones Reconocidas.|Radioaficionados categoría Novicio.","0|1"
"VIII.11 ¿En ocasión de eventos que requieran de Señal Distintiva Especial, puede un radioaficionado de cualquier categoría que forme parte de un equipo de operación, operar en todas las bandas autorizadas al titular del equipo?","Sí.|No.","0"
"VIII.12 ¿Cuáles son las condiciones que deberá acreditar el Radioaficionado para solicitar una Señal Distintiva Especial?","Haber participado en tres concursos distintos con su señal distintiva propia.|Haber realizado en cada uno de ellos un mínimo de 500 contactos.|Haber sido titular de equipo de operación .","0|1"
"VIII.13 ¿Se pueden tener dos o más Señales Distintivas Especiales vigentes al mismo tiempo?","Sí.|No.","1"
"IX.1 ¿En qué casos los titulares de licencia de Radioaficionado están autorizados a instalar y operar estaciones móviles?","Sólo en caso de emergencias.|Sólo en período de vacaciones.|Cuando posea licencia de conductor.|No hay restricciones.","3"
"IX.2 ¿Quién puede operar una estación radioeléctrica correspondiente al Servicio de Radioaficionado y al Servicio de Radioaficionado por Satélite?","Su titular u otro Radioaficionado que él mismo autorice.|Cualquier Radioaficionado.|Ningún Radioaficionado distinto a su titular.","0"
"IX.3 Cuando un Radioaficionado opera una estación radioeléctrica de la cual no es titular, ¿cómo se debe identificar?","Haciendo mención de la señal distinta del titular y de la propia, en ese orden, seguido de una barra y la letra correspondiente a la división política.|Haciendo mención de la señal distinta propia y la del titular, en ese orden, seguido de una barra y la letra correspondiente a la división política.|Haciendo mención de la señal distinta propia.","0"
"IX.4 Cuando un Radioaficionado opera una estación radioeléctrica de la cual no es titular, ¿en qué bandas lo hace?","En las permitidas según la categoría del Titular.|En las permitidas según la categoría del Operador.","1"
"IX.5 ¿Quiénes podrán operar simultáneamente múltiples estaciones de su titularidad durante el dictado de cursos, Práctica Operativa, toma de exámenes, contactos DX o concursos, según corresponda a sus competencias?","Radioaficionados.|Radio Clubes, Instituciones Autorizadas e Instituciones Reconocidas.","1"
"IX.6 En caso que el Radioaficionado posea más de una estación fija, ¿es necesario declararlas a todas?","Sí.|No.","0"
"IX.7 ¿En caso de trasladar una estación fija por un período mayor a 120 días corridos, se deberá solicitar el cambio de domicilio de emplazamiento?","Sí.|No.","0"
"IX. 8 Con relación a la altura de la estructura soporte de antenas que pretende instalar el Radioaficionado, ¿ante qué Organismo debe realizar el trámite pertinente de autorización?","ENACOM.|ANAC.","1"
"IX. 9 ¿Cómo se debe operar una estación móvil?","Se deberá mencionar su señal distintiva, su ubicación geográfica y su condición de móvil.|Se deberá mencionar su señal distintiva, su ubicación geográfica.","0"
"IX.10 ¿Qué categoría debe poseer el titular de la licencia de Radioaficionado que deseara diseñar, construir, lanzar y/o constituirse como responsable primario de una estación espacial del Servicio de Radioaficionados por Satélite?","GENERAL o SUPERIOR.|ESPECIAL.|NOVICIO.","0"
"IX.11 En caso de poseer Estaciones Terrenas pertenecientes al Servicio de Radioaficionados por Satélite, ¿es necesario registrarlas ante la Autoridad de Aplicación?","Sí.|No.","1"
"X.1 ¿La Estación Repetidora tiene que estar autorizada ante la Autoridad de Aplicación?","Sí|No","0"
"X.2 ¿Se podrá solicitar autorización para una Estación Repetidora para que opere en bandas cruzadas VHF/UHF?","Sí|No","0"
"X.3 ¿En qué circunstancias la Autoridad de Aplicación podrá otorgar la autorización para el uso de una Estación Repetidora en bandas cruzadas VHF/UHF?","En determinadas zonas geográficas.|Cuando no haya disponibilidad espectral.|Cuando el solicitante sea un Radioaficionado de categoría Superior.","0"
"X.4 ¿Cuál es el plazo máximo para poner en funcionamiento una Estación Repetidora ya autorizada por la Autoridad de Aplicación?","72 horas.|30 días.|60 días.|90 días.","3"
"X.5 En el caso en que una Estación Repetidora autorizada se encuentra totalmente fuera de servicio, ¿cuál es el plazo máximo en que puede permanecer inactiva, antes que se produzca su caducidad automática?","72 horas.|30 días.|60 días.|90 días.","2"
"X. 6 ¿Puede haber en nuestro país Estaciones Repetidoras del Servicio de Radioaficionados con acceso codificado mediante subtonos?","No, porque la Reglamentación lo prohibe|No, porque los equipos para Radioaficionados no disponen de subtonos.|Sí, siempre que el código sea aprobado previamente por la Autoridad de Aplicación y sea de conocimiento público.|Sí, si el código es únicamente de conocimiento previo de la Autoridad de Aplicación.","2"
"X.7 ¿Cómo se identifican las Estaciones Repetidoras?","Con la señal distintiva del titular y la localidad del emplazamiento de la Estación Repetidora.|Con la señal distintiva del titular|Con la señal distintiva del titular, la localidad de emplazamiento de la estación fija y la localidad del emplazamiento de la Estación Repetidora.","0"
"X.8 ¿De cuánto tiempo dispone el titular de la Estación repetidora para comunicar a la Autoridad de Aplicación el inicio de su operación?","15 días corridos|30 días corridos|60 días corridos.","0"
"X.9 ¿Ante qué casos caducará la autorización de una Estación Repetidora?","No haber informado dentro de los 15 días corridos, el inicio de su operación.|Inactividad comprobada en un período mayor a los 60 días corridos|No haber renovado la licencia del titular o la autorización de la Estación Repetidora en el período estipulado en el Reglamento vigente.|Cuando el titular reciba un apercibimiento por parte de la Autoridad de Aplicación por infracción en el uso de la Estación Repetidora.","0|1|2"
"X.10 ¿Para dar de baja una Estación Repetidora de cuánto tiempo se dispone desde el cese de las emisiones?","15 días corridos.|30 días corridos.|60 días corridos.","0"
"X. 11 ¿Cuando se solicita la baja de una Estación Repetidora, se deben desmantelar las instalaciones radioeléctricas?","Siempre.|Sólo cuando la Autoridad de Aplicación lo requiera.|Nunca.","0"
"X.12 ¿Qué se requiere para la autorización de un enlace de 2 o más Estaciones Repetidoras por parte de la Autoridad de Aplicación?","La conformidad por escrito de los titulares de las Estaciones Repetidoras.|Sólo el estudio técnico del cálculo de enlace.|El estudio técnico del cálculo de enlace y la conformidad por escrito de los titulares de las Estaciones Repetidoras.","2"
"X.13 ¿Es obligatorio contar con un sistema de apagado de la Estación Repetidora?","Sí.|No.","0"
"X.14 En caso de optarse por control remoto de la Estación Repetidora mediante vínculo radioeléctrico, ¿éste deberá contar con la autorización de la Autoridad de Aplicación?","Sí.|No.","0"
"X.15 ¿La frecuencia de transmisión para el control remoto de una Estación Repetidora mediante vínculo radioeléctrico, podrá encontrarse dentro de una banda de radioaficionados?","Sí.|No.","1"
"XI.1 ¿Qué categoría se requiere para instalar y poner en funcionamiento una Radiobaliza (Radiofaro)?","Novicio|General.|Superior.|No se requiere una categoría determinada.","3"
"XI.2 ¿Cuántas señales de Radiobalizas pueden emitirse desde el mismo lugar de emplazamiento?","Sólo una.|Dos.|Tres.|No hay limitaciones.","0"
"XI.3 ¿Con cuántos días de anticipación a la instalación el Radioaficionado deberá notificar a la Autoridad de Aplicación la puesta en funcionamiento de la Radiobaliza, en forma fehaciente, la frecuencia de operación, el domicilio de emplazamiento y potencia de transmisión?","10 días.|15 días|30 días.|No se necesita notificar.","1"
"XII.1 ¿Quiénes podrán dictar cursos y/o tomar examen para ingreso y ascenso de categoría?","Radio Clubes.|Instituciones Autorizadas.|Instituciones Reconocidas.","0|1"
"XII.2 ¿Se podrá rendir examen en condición de libre, sin realizar cursos en Radio Clubes e Instituciones Autorizadas?","Sí.|No.","0"
"XII.3 ¿Cómo deberán tomarse los exámenes para ingreso o ascenso de categoría?","En forma escrita únicamente|En forma oral únicamente.|En forma escrita, y para aspirantes no videntes o imposibilitados para escribir, en forma oral.","2"
"XII.4 ¿Quiénes están autorizados a dar prácticas operativas?","Radio Clubes.|Instituciones Autorizadas.|Instituciones Reconocidas.","0|1|2"
"XII.5 ¿Quién supervisa las prácticas operativas","Veedor.|Instructor.|Autoridades del Radio Club, Institución Autorizada y/o Instituciones Reconocidas.","1"
"XII.6 El Instructor designado por el Radio Club, Institución Autorizada o Institución Reconocida, ¿debe estar registrado en el Libro de Actas y debe dar fe por medio de un certificado que el aspirante cumplió con los requisitos solicitados durante la práctica operativa?","Sí|No","0"
"XII.7 ¿Las prácticas operativas destinadas a recepción deben cumplirse por cuántas horas?","6 hs.|12 hs.","0"
"XII.8 ¿Las prácticas operativas deben asentarse en el Libro de Guardia?","Sí.|No.","0"
"XII.9 ¿En caso de mediar distancias excesivas o dificultades geográficas para acceder a un Radio Club, Institución Autorizada o Institución Reconocida, las prácticas operativas podrán realizarse en las filiales de los Radio Clubes o en el domicilio de un Instructor?","Sí.|No.","0"
"XII.10 ¿Con qué señal distintiva operará el Instructor a distancia?","Señal distintiva del Radio Club|Señal distintiva propia del Instructor","1"
"XII.11 ¿La autorización del Radio Club, Institución Autorizada o Institución Reconocida al Instructor a distancia deberá estar plasmada en el Libro de Actas (con validez expresamente detallada)?","Sí.|No.","0"
"XII.12 ¿Cuáles son las funciones de Instructor?","Dictar cursos.|Tomar exámenes.|Coordinar las prácticas operativas.|Organizar concursos.|Firmar los Certificados de Aprobación de Examen.","0|1|2"
"XII.13 ¿Qué categoría mínima debe tener el Instructor?","Novicio.|General.|Superior|Especial.","1"
"XII.14 ¿Puede un Radioaficionado que ha sido sancionado alguna vez por la Autoridad de Aplicación ser instructor?","Sí.|No.","1"
"XII.15 ¿Puede un instructor tomar examen a familiares directos?","Sí.|No.","1"
"XII.16 Ante un requerimiento de una Institución Autorizada a un Radio Club para formar parte de la mesa examinadora, el Radio Club debe designar a un radioaficionado de categoría mínima:","General|Superior|Especial","0|1"
"XII.17 ¿Cuántos meses de validez tiene el Certificado de Aprobación de examen firmado por las autoridades del Radio Club o Institución Autorizada para ser presentado ante la Autoridad de Aplicación?","3 meses.|6 meses.|12 meses.","1"
"XII.18 ¿Toda certificación de aprobación de examen autoriza a un aspirante a instalar y poner en funcionamiento equipos radioeléctricos, hasta tanto la Autoridad de Aplicación otorgue la licencia correspondiente?","Sí.|No.","1"
"XII.19 Para la categoría Novicio, el examen de telegrafía será:","Teórico.|Práctico.","0"
"XII.20 ¿En el examen de Telegrafía, ¿cuántos caracteres se consideran una palabra?","5|10|Más de 10","0"
"XII.21 En el examen de Telegrafía, ¿cuántos caracteres se consideran una letra de la A a la Z?","1.|2.|Más de 2.","0"
"XII.22 En el examen de Telegrafía, ¿cuántos caracteres se consideran un número y signo de puntuación?","1.|2.|Más de 2.","1"
"XII.23 En el Libro de Guardia se deberá consignar:","Fecha, hora de comienzo y finalización del comunicado.|Clase de emisión empleada.|Potencia transmitida.|Señal distintiva de la estación corresponsal.","0|1|3"
"XII.24 ¿Cuál es la función de un veedor?","Participar en la confección del examen.|Firmar el acta de examen.|Firmar el certificado de aprobación de examen.|Atender consultas de los examinados durante el examen.","1|2"
"XII.25 ¿Cuáles son los requisitos y obligaciones de un veedor?","Ser Radioaficionado argentino o residente con cualquier categoría. |No haber sido sancionado por la Autoridad de Aplicación.|Ser designado por el Radio Club o Institución Autorizada|Abstenerse de participar en la toma de exámenes a familiares directos de primer grado.","1"
"XII.26 ¿El veedor deberá pertenecer al mismo Radio Club o Institución Autorizada que toma el examen?","Sí.|No.|Indistinto.","1"
"XIII.1 Se consideran infracciones de carácter general:","Operar la estación sin licencia vigente|Ceder el micrófono a otro Radioaficionado.|Comunicar con estaciones no autorizadas|Grabar emisiones de terceros y retransmitirlas|Referirse a temas de índole política, religiosa o racial.|Transmitir música.","0|2|4|5"
"XIII.2 Se consideran infracciones de identificación:","Identificarse con una señal distintiva perteneciente a otro Radioaficionado.|Omitir mencionar junto con la señal distintiva de la estación móvil, el lugar geográfico de su actual ubicación.|Mencionar la señal distintiva del Radioaficionado titular y la propia cuando se utilice su estación.|Utilizar una Señal Distintiva Especial vencida o no autorizada por la Autoridad de Aplicación.|Mencionar la señal distintiva del Radio Club y la propia cuando se utilice la estación de dicho Radio Club.|Omitir mencionar que se está operando en “Practica Operativa” cuando corresponda.","0|1|3|5"
