question,answers,correctAnswer
"137. ¿Qué simboliza la “flecha” en un transistor tipo PNP ?","La flecha es el colector y apunta hacia adentro del círculo.|La flecha es la base y apunta hacia adentro del círculo.|La flecha es el emisor y apunta hacia adentro del círculo.|La flecha es el emisor y apunta hacia adentro del círculo.","2"
"138. ¿Cuál es la longitud de onda correspondiente a una frecuencia de 50,050 MHz ?","6,85 m|5,99 m|6,10 m|7,98 m","1"
"139. ¿Cuál es la longitud de onda correspondiente a una frecuencia de 430,130 MHz?","0,662 m|0,662 m|0,662 m|0,662 m","2"
"140. ¿Cuál es el ángulo ideal entre las ramas de una antena dipolo horizontal de 1/2 longitud de onda para la banda de 80 metros ?","45|90|135|180","3"
"141. Si dos resistencias de igual valor están conectadas en paralelo. ¿Cuánto vale la resistencia total del circuito ?","La suma de las dos.|La mitad de una de ellas.|Tres veces el valor de una de ellas.|Tres veces el valor de una de ellas.","1"
"142. Si dos resistencias de igual valor están conectadas en serie. ¿Cuánto vale la resistencia total del circuito ?","La suma de las dos.|La mitad de una de ellas.|Tres veces el valor de una de ellas.|La cuarta parte del producto de las dos.","0"
"143. Una señal de 725 hz., ¿a qué rango de frecuencia pertenece ?","Radio frecuencia.|Audio frecuencia.|Alta frecuencia.|VHF.","1"
"144. Una antena dipolo plegado. ¿Qué impedancia presenta en su centro ?","50Ω|75Ω|150Ω|300Ω","3"
"145. El dial de un receptor esta calibrado en kilohertz y muestra la frecuencia de 7125 Khz. ¿Qué frecuencia mostraría si estuviera calibrado en Megahertz ?","71,25 MHz.|71,25 MHz.|.007125 MHz.|712,5 MHz.","1"
"146. ¿Cuál es el período en que se producen los máximos ciclos solares.?","2 años.|11 años.|15 años.|5 años","1"
"147. Según el código de colores de resistencias, ¿cuál sería la combinación correcta para 290 Ω","Naranja, blanco, negro|Rojo, blanco, marrón|Rojo, gris, marrón|Rojo, gris, negro","1"
"148. ¿Qué elemento de una válvula es el ánodo ?","Filamento.|Placa.|Pantalla.|Drenaje.","1"
"149. Se dispone de cuatro resistencias (R1= 50 Ω, R2= 10 Ω, R3= 120 Ω y R4= 4700 Ω) conectadas en paralelo a una fuente de alimentación de 12 Volts. ¿Cuál será la resistencia total (aproximada) del circuito ?","7,77 KΩ|77,7 KΩ|7,77Ω|777Ω","2"
"150. Según el código de colores para resistencias, ¿cuál sería la combinación correcta para 87 Ω ?","Gris, azul, negro|Blanco, azul, negro|Blanco, verde, marrón|Gris, violeta, negro","3"
